First name Last name	Last name of the artist	First name of the artist	Sex of the artist (F/M/FM/empty)	Membership in movement, if applicable	Biographical elements	Detailed address of the artist, as it appears in the catalogue	Country of the artist	State of the artist	City of the artist	City coordinate location	City lat	City long	Street number of the artist's address	Street name of the artist's address	Street coordinate location	Street lat	Street long	Floor level of the artist's address	Local address of the artist	Additional information on the artist's address	Address as it appears in the catalogue	Country of the artist 2	State of the artist 2	City of the artist 2	Street number of the artist's address 2	Street name of the artist's address 2	Floor level of the artist's address 2	Local address of the artist 2	Additional information on the artist's address 2	Artist's nationality	Student of	Birth year	Month of birth	Day of birth	Detailed birth address of the artist, as it appears in the catalogue	Country of birth	State of birth	City of birth	Street number of the birth address	Street name of the birth address	Floor level of the birth address	Local address of birth	Additional information on the birth address	Year of death	Month of death	Day of death	Detailed death address of the artist, as it appears in the catalogue	Country of death	State of death	City of death	Street number of the death address	Street name of the death address	Floor level of the death address	Local address of death	Additional information on the death address	Notes	Number	Title of artwork	Subtitle	Dimension_bis	Medium_bis	Translated title	Start year of creation	Start month of creation	Start day of creation	End year of creation	End month of creation	End day of creation	Country of creation	State of creation	City of creation	Dimensions	Categories	Medium	Room	Chapter of the catalogue ?	Price	Location/Owner	Owner's country	Owner's state	Owner's city	Notes2	Column 75
E. COQUET 	COQUET 	E.		 	  Nonancourt (Eure).	  Nonancourt (Eure).	France	 	Nonancourt	48.776388888889,1.1930555555556	48.776388888889	1.1930555555556	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	128	Effet de neige.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Ferdinand COSTE 	COSTE 	Ferdinand	M	Photo-Club de Paris	  P. C. P. Lacanche, par Arnay-le-Duc (Côte-d'Or).	   Lacanche, par Arnay-le-Duc (Côte-d'Or).	France	 	Arnay-le-Duc	47.131666666667,4.4861111111111	47.131666666667	4.4861111111111	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	129	Portrait.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
COUDELOU	COUDELOU			 	 55, rue du Château-d'Eau, Paris.	 55, rue du Château-d'Eau, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	55	rue du Château-d'Eau	48.8704,2.35969	48.8704	2.35969	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	130	Reflets.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
James CRAIG ANNAN	CRAIG ANNAN	James	M	Linked Ring	 L. R. 230, Sauchiehall Street, Glasgow (Écosse).	  230, Sauchiehall Street, Glasgow (Écosse).	Scotland	 	Glasgow	55.861111111111114,-4.25	55.861111111111114	-4.25	230	Sauchiehall Street	55.8656,-4.26409	55.8656	-4.26409	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	131	Portrait de M. Holland Day.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
James CRAIG ANNAN	CRAIG ANNAN	James	M	Linked Ring	 L. R. 230, Sauchiehall Street, Glasgow (Écosse).	  230, Sauchiehall Street, Glasgow (Écosse).	Scotland	 	Glasgow	55.861111111111114,-4.25	55.861111111111114	-4.25	230	Sauchiehall Street	55.8656,-4.26409	55.8656	-4.26409	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	132	Portrait du Professeur Young.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Reginald CRAIGIE 	CRAIGIE 	Reginald	M	Linked Ring / Camera-Club de Londres	  L. R. Camera-Club, Charing Cross road, Londres.	Charing Cross road, Londres.	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	 	Charing Cross Road	51.511666666667,-0.1275	51.511666666667	-0.1275	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	133	Étude de valeurs.	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
W.-J. CROALL 	CROALL 	W.-J.		 	 18, St. Albans Road, Édimbourg (Écosse).	 18, St. Albans Road, Édimbourg (Écosse).	Scotland	 	Edinburgh	55.95333333333333,-3.1891666666666665	55.95333333333333	-3.1891666666666665	18	 St. Albans Road				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	134	Bull Dogs.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
W.-J. CROALL 	CROALL 	W.-J.		 	 18, St. Albans Road, Édimbourg (Écosse).	 18, St. Albans Road, Édimbourg (Écosse).	Scotland	 	Edinburgh	55.95333333333333,-3.1891666666666665	55.95333333333333	-3.1891666666666665	18	 St. Albans Road				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	135	Qui appelle ?				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
William CROOKE 	CROOKE 	William	M	Linked Ring	  L. R. 103, Princes Street, Edimbourg (Écosse).	   103, Princes Street, Edimbourg (Écosse).	Scotland	 	Edinburgh	55.95333333333333,-3.1891666666666665	55.95333333333333	-3.1891666666666665	103	Princes Street	55.951313888889,-3.2008777777778	55.951313888889	-3.2008777777778	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	136	Portrait de sir Noel Paton. R. S. A.	A.	Agrandissement		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Eugène CLUGNIÈRES 	CLUGNIÈRES 	Eugène	M	 	 59, rue de Gisors, Pontoise (Seine-et-Oise).	 59, rue de Gisors, Pontoise (Seine-et-Oise).	France	 	Pontoise	49.050833333333,2.1008333333333	49.050833333333	2.1008333333333	59	 rue de Gisors				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	137	Vers l'École.	A. Ch. Fr.	Agrandissement	Papier au charbon Fresson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Eugène CLUGNIÈRES 	CLUGNIÈRES 	Eugène	M	 	 59, rue de Gisors, Pontoise (Seine-et-Oise).	 59, rue de Gisors, Pontoise (Seine-et-Oise).	France	 	Pontoise	49.050833333333,2.1008333333333	49.050833333333	2.1008333333333	59	 rue de Gisors				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	138	Nature morte.	D. Gb.	Épreuve directe	Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Arthur DA CUNHA 	DA CUNHA 	Arthur	M	Photo-Club de Paris	  P. C. P. 3, rue Meissonier, Paris.	   3, rue Meissonier, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	3	rue Meissonier	48.8831,2.3044	48.8831	2.3044	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	139	Avant les régates.	Ch.		Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Arthur DA CUNHA 	DA CUNHA 	Arthur	M	Photo-Club de Paris	  P. C. P. 3, rue Meissonier, Paris.	   3, rue Meissonier, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	3	rue Meissonier	48.8831,2.3044	48.8831	2.3044	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	140	Un pauvre diable.	Br.		Papier au gelatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Arthur DA CUNHA 	DA CUNHA 	Arthur	M	Photo-Club de Paris	  P. C. P. 3, rue Meissonier, Paris.	   3, rue Meissonier, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	3	rue Meissonier	48.8831,2.3044	48.8831	2.3044	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	141	Temps de grève.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Louis DARDONVILLE 	DARDONVILLE 	Louis	M	Photo-Club de Paris / Société d'Excursions des Amateurs de Photographie	  P. C. P. - S. A. E. 15, Chaussée de la Muette, Paris.	 15, Chaussée de la Muette, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	15	chaussée de la Muette	48.8583,2.27236	48.8583	2.27236	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	142	Relai de Chasse.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Louis DARDONVILLE 	DARDONVILLE 	Louis	M	Photo-Club de Paris / Société d'Excursions des Amateurs de Photographie	  P. C. P. - S. A. E. 15, Chaussée de la Muette, Paris.	 15, Chaussée de la Muette, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	15	chaussée de la Muette	48.8583,2.27236	48.8583	2.27236	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	143	La Falaise.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Louis DARDONVILLE 	DARDONVILLE 	Louis	M	Photo-Club de Paris / Société d'Excursions des Amateurs de Photographie	  P. C. P. - S. A. E. 15, Chaussée de la Muette, Paris.	 15, Chaussée de la Muette, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	15	chaussée de la Muette	48.8583,2.27236	48.8583	2.27236	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	144	Un Ruisseau.	A. Ch.	Agrandissement	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Achille DARNIS 	DARNIS 	Achille	M	Photo-Club de Paris / Société d'Excursions des Amateurs de Photographie	  P. C. P. - S. A. E. 4, rue Marbeuf, Paris.	 4, rue Marbeuf, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	4	rue Marbeuf	48.8685,2.30343	48.8685	2.30343	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	145	Paysanne du Poitou.	D. Ch. Fr.	Épreuve directe	Papier au charbon Fresson	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Achille DARNIS 	DARNIS 	Achille	M	Photo-Club de Paris / Société d'Excursions des Amateurs de Photographie	  P. C. P. - S. A. E. 4, rue Marbeuf, Paris.	 4, rue Marbeuf, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	4	rue Marbeuf	48.8685,2.30343	48.8685	2.30343	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	146	Premières fleurs.	D. Ch.	Épreuve directe	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Henry-E. DAVIS 	DAVIS 	Henry-E.	M	Camera-Club de Londres	  Camera-Club, Charing Cross road Londres (Angleterre).	Charing Cross road Londres (Angleterre).	England	 	London	51.507222222222,-0.1275	51.507222222222	-0.1275	 	Charing Cross Road	51.511666666667,-0.1275	51.511666666667	-0.1275	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	147	Lune d'été.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges DAVISON 	DAVISON 	Georges	M	Linked Ring	  L. R. Beechcroft, the Park, East Molesey. (Angleterre).	   Beechcroft, the Park, East Molesey. (Angleterre).	England	 	East Molesey	51.39872,-0.34916	51.39872	-0.34916	 	   Beechcroft, the Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	148	L'Arbre aux longs bras.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges DAVISON 	DAVISON 	Georges	M	Linked Ring	  L. R. Beechcroft, the Park, East Molesey. (Angleterre).	   Beechcroft, the Park, East Molesey. (Angleterre).	England	 	East Molesey	51.39872,-0.34916	51.39872	-0.34916	 	   Beechcroft, the Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	149	Portrait au soleil.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges DAVISON 	DAVISON 	Georges	M	Linked Ring	  L. R. Beechcroft, the Park, East Molesey. (Angleterre).	   Beechcroft, the Park, East Molesey. (Angleterre).	England	 	East Molesey	51.39872,-0.34916	51.39872	-0.34916	 	   Beechcroft, the Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	150	La Porte ouverte.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges DAVISON 	DAVISON 	Georges	M	Linked Ring	  L. R. Beechcroft, the Park, East Molesey. (Angleterre).	   Beechcroft, the Park, East Molesey. (Angleterre).	England	 	East Molesey	51.39872,-0.34916	51.39872	-0.34916	 	   Beechcroft, the Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	151	Un Village dans les South Downs.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Georges DAVISON 	DAVISON 	Georges	M	Linked Ring	  L. R. Beechcroft, the Park, East Molesey. (Angleterre).	   Beechcroft, the Park, East Molesey. (Angleterre).	England	 	East Molesey	51.39872,-0.34916	51.39872	-0.34916	 	   Beechcroft, the Park				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	152	La Promenade.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Fred HOLLAND DAY 	HOLLAND DAY 	Fred	M	 	 9, Pinckney Street, Boston (U. S. A.).	 9, Pinckney Street, Boston (U. S. A.).	United States of America	 	Boston	42.360277777777775,-71.05777777777777	42.360277777777775	-71.05777777777777	9	 Pinckney Street				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	153	L'Élève favori.	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Fred HOLLAND DAY 	HOLLAND DAY 	Fred	M	 	 9, Pinckney Street, Boston (U. S. A.).	 9, Pinckney Street, Boston (U. S. A.).	United States of America	 	Boston	42.360277777777775,-71.05777777777777	42.360277777777775	-71.05777777777777	9	 Pinckney Street				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	154	Le Déjeuner. Blidah.	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Fred HOLLAND DAY 	HOLLAND DAY 	Fred	M	 	 9, Pinckney Street, Boston (U. S. A.).	 9, Pinckney Street, Boston (U. S. A.).	United States of America	 	Boston	42.360277777777775,-71.05777777777777	42.360277777777775	-71.05777777777777	9	 Pinckney Street				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	155	Chef Éthiopien.	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Fred HOLLAND DAY 	HOLLAND DAY 	Fred	M	 	 9, Pinckney Street, Boston (U. S. A.).	 9, Pinckney Street, Boston (U. S. A.).	United States of America	 	Boston	42.360277777777775,-71.05777777777777	42.360277777777775	-71.05777777777777	9	 Pinckney Street				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	156	Le Masseur au bain Maure.	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Fred HOLLAND DAY 	HOLLAND DAY 	Fred	M	 	 9, Pinckney Street, Boston (U. S. A.).	 9, Pinckney Street, Boston (U. S. A.).	United States of America	 	Boston	42.360277777777775,-71.05777777777777	42.360277777777775	-71.05777777777777	9	 Pinckney Street				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	157	Rue d'Alger.	Pl. Gb.		Papier au platine, procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Pierre DELACRE 	DELACRE 	Pierre	M	 	  Vilvorde (Belgique).	  Vilvorde (Belgique).	Belgium	 	Vilvoorde	50.928138888889,4.4244888888889	50.928138888889	4.4244888888889	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	158	Moutons.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Pierre DELACRE 	DELACRE 	Pierre	M	 	  Vilvorde (Belgique).	  Vilvorde (Belgique).	Belgium	 	Vilvoorde	50.928138888889,4.4244888888889	50.928138888889	4.4244888888889	 					 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	159	Attelage à cinq.				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
E. DELPECH 	DELPECH 	E.		Photo-Club de Paris	  P. C. P. 41, rue de Villiers, Neuilly (Seine).	   41, rue de Villiers, Neuilly (Seine).	France	 	Neuilly-sur-Seine	48.887222222222,2.2675	48.887222222222	2.2675	41	Rue de Villiers	48.89091,2.27887	48.89091	2.27887	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	160	Portraits de M. H. R.	A. Gb.	Agrandissement	Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
E. DELPECH 	DELPECH 	E.		Photo-Club de Paris	  P. C. P. 41, rue de Villiers, Neuilly (Seine).	   41, rue de Villiers, Neuilly (Seine).	France	 	Neuilly-sur-Seine	48.887222222222,2.2675	48.887222222222	2.2675	41	Rue de Villiers	48.89091,2.27887	48.89091	2.27887	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	161	Portrait de M. G. I.	D. Gb.	Épreuve directe	Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Robert DEMACHY 	DEMACHY 	Robert	M	Photo-Club de Paris / Linked Ring	  P. C. P. - L. R. 13, rue Francois 1er, Paris	 13, rue Francois 1er, Paris	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	13	Rue François-Ier	48.8679,2.30497	48.8679	2.30497	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	162	Portrait de madame R. D.	D. Gb.	Épreuve directe	Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Robert DEMACHY 	DEMACHY 	Robert	M	Photo-Club de Paris / Linked Ring	  P. C. P. - L. R. 13, rue Francois 1er, Paris	 13, rue Francois 1er, Paris	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	13	Rue François-Ier	48.8679,2.30497	48.8679	2.30497	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	163	Paysage d'Automne.	A. Gb.	Agrandissement	Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Robert DEMACHY 	DEMACHY 	Robert	M	Photo-Club de Paris / Linked Ring	  P. C. P. - L. R. 13, rue Francois 1er, Paris	 13, rue Francois 1er, Paris	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	13	Rue François-Ier	48.8679,2.30497	48.8679	2.30497	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	164	Danseuse.	D. Gb.	Épreuve directe	Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Robert DEMACHY 	DEMACHY 	Robert	M	Photo-Club de Paris / Linked Ring	  P. C. P. - L. R. 13, rue Francois 1er, Paris	 13, rue Francois 1er, Paris	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	13	Rue François-Ier	48.8679,2.30497	48.8679	2.30497	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	165	Portrait.	D. Gb.	Épreuve directe	Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Robert DEMACHY 	DEMACHY 	Robert	M	Photo-Club de Paris / Linked Ring	  P. C. P. - L. R. 13, rue Francois 1er, Paris	 13, rue Francois 1er, Paris	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	13	Rue François-Ier	48.8679,2.30497	48.8679	2.30497	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	166	Étude.	D. Gb.	Épreuve directe	Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Robert DEMACHY 	DEMACHY 	Robert	M	Photo-Club de Paris / Linked Ring	  P. C. P. - L. R. 13, rue Francois 1er, Paris	 13, rue Francois 1er, Paris	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	13	Rue François-Ier	48.8679,2.30497	48.8679	2.30497	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	167	Tête d'Expression.	D. Gb.	Épreuve directe	Procédé à la gomme bichromatée	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
F. DETAILLE 	DETAILLE 	F.		 	 21, rue de Noailles, Marseille, (Bouches-du-Rhône).	 21, rue de Noailles, Marseille, (Bouches-du-Rhône).	France	 	Marseille	43.296666666667,5.3763888888889	43.296666666667	5.3763888888889	21	La Canebière	43.29667,5.37861	43.29667	5.37861	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	168	Le Petit Saint-Jean.	D. Ch.	Épreuve directe	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
F. DETAILLE 	DETAILLE 	F.		 	 21, rue de Noailles, Marseille, (Bouches-du-Rhône).	 21, rue de Noailles, Marseille, (Bouches-du-Rhône).	France	 	Marseille	43.296666666667,5.3763888888889	43.296666666667	5.3763888888889	21	La Canebière	43.29667,5.37861	43.29667	5.37861	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	169	Les Cygnes.	D. Ch.	Épreuve directe	Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Charles DEWIT 	DEWIT 	Charles	M	Cercle L'Effort	  C. EFF. 27, rue Le Corrège, Bruxelles (Belgique).	   27, rue Le Corrège, Bruxelles (Belgique).	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	27	Rue Le Corrège - Correggiostraat	50.845644,4.386855	50.845644	4.386855	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	170	Un Érudit.	Ch.		Papier au charbon	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
Charles DEWIT 	DEWIT 	Charles	M	Cercle L'Effort	  C. EFF. 27, rue Le Corrège, Bruxelles (Belgique).	   27, rue Le Corrège, Bruxelles (Belgique).	Belgium	 	City of Brussels	50.846666666666664,4.351666666666667	50.846666666666664	4.351666666666667	27	Rue Le Corrège - Correggiostraat	50.845644,4.386855	50.845644	4.386855	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	171	La Causette.	Pl.		Papier au platine	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
DROUET	DROUET			 	 107, boulevard Malesherbes, Paris.	 107, boulevard Malesherbes, Paris.	France	 	Paris	48.856944444444,2.3513888888889	48.856944444444	2.3513888888889	107	boulevard Malesherbes	48.87976,2.31387	48.87976	2.31387	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	172	Forêt de Compiègne. A. Br.	A. Br.	Agrandissement	Papier au gélatino-bromure d'argent	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
